Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
3,24,3,2,0.4799304338011307
3,25,3,2,1.0
3,25,1,1,1.0
3,25,2,0,0.34026116797646827
4,5,3,3,1.0
4,5,0,0,1.0
4,5,1,1,1.0
4,5,2,2,0.5522800249973266
4,6,0,0,1.0
4,6,1,1,0.9492916908051734
4,6,2,2,0.7324801053669965
4,6,3,3,0.5645167311025198
4,7,0,0,1.0
4,7,1,2,1.0
4,7,2,1,0.5726329228161697
4,7,3,3,0.5484384906764643
4,8,3,1,1.0
4,8,0,0,1.0
4,8,1,3,1.0
4,8,2,2,0.9379164783492485
4,9,2,3,1.0
4,9,0,2,1.0
4,9,1,1,1.0
4,9,3,0,0.8051474213588403
4,10,3,2,1.0
4,10,2,3,1.0
4,10,1,1,1.0
4,10,0,0,1.0
4,11,3,3,1.0
4,11,0,1,1.0
4,11,1,2,1.0
4,11,2,0,-0.11236929600539675
4,12,3,2,1.0
4,12,2,3,1.0
4,12,0,0,1.0
4,12,1,1,-0.06716417910447751
4,13,2,1,1.0
4,13,0,0,1.0
4,13,1,3,1.0
4,13,3,2,0.6791675588592171
4,14,3,2,1.0
4,14,0,3,1.0
4,14,1,0,1.0
4,14,2,1,-0.0947588100896418
4,15,3,2,1.0
4,15,2,3,1.0
4,15,1,1,1.0
4,15,0,0,0.9037432407886096
4,16,2,0,1.0
4,16,0,1,1.0
4,16,1,2,1.0
4,16,3,3,0.6537073681759982
4,17,2,1,1.0
4,17,1,0,1.0
4,17,0,3,1.0
4,17,3,2,0.1877848678213309
4,18,3,1,1.0
4,18,0,2,1.0
4,18,1,0,1.0
4,18,2,3,0.9365730382048341
4,19,3,2,1.0
4,19,2,3,1.0
4,19,0,1,1.0
4,19,1,0,1.0
4,20,2,0,1.0
4,20,0,1,1.0
4,20,1,2,0.839913435105574
4,20,3,3,0.6137395327840174
4,21,3,2,1.0
4,21,0,0,1.0
4,21,1,1,1.0
4,21,2,3,0.9391489713046154
4,22,2,0,1.0
4,22,0,1,1.0
4,22,1,2,0.9470501715966662
4,22,3,3,0.6448712110101658
4,23,2,1,1.0
4,23,0,0,1.0
4,23,1,3,1.0
4,23,3,2,0.6147218907355124
4,24,2,3,1.0
4,24,0,2,1.0
4,24,1,0,1.0
4,24,3,1,0.1877848678213309
4,25,2,2,1.0
4,25,1,1,1.0
4,25,0,0,0.9110692812147186
5,6,3,3,1.0
5,6,0,2,1.0
5,6,2,0,0.9469702697480615
5,6,1,1,0.015276893698281398
5,7,3,1,1.0
5,7,2,0,1.0
5,7,0,2,1.0
5,7,1,3,0.031108072471553387
5,8,3,3,1.0
5,8,0,2,1.0
5,8,1,1,1.0
5,8,2,0,0.4489368483358376
5,9,3,3,1.0
5,9,0,1,1.0
5,9,1,2,1.0
5,9,2,0,0.7163821068030858
5,10,3,3,1.0
5,10,1,0,1.0
5,10,2,2,0.8276860890872856
5,10,0,1,0.745397904276409
5,11,3,3,1.0
5,11,1,1,1.0
5,11,0,2,0.6933333333333334
5,11,2,0,0.540120206203527
5,12,3,3,1.0
5,12,2,2,1.0
5,12,0,1,1.0
5,12,1,0,0.20338127681049706
5,13,3,3,1.0
5,13,0,1,1.0
5,13,1,0,0.9545211966424632
5,13,2,2,0.5666562705755969
5,14,3,2,1.0
5,14,1,3,1.0
5,14,0,0,1.0
5,14,2,1,0.5875559131491669
5,15,3,3,1.0
5,15,1,0,1.0
5,15,2,2,0.7626932202975517
5,15,0,1,0.745397904276409
5,16,3,2,1.0
5,16,1,1,1.0
5,16,0,0,1.0
5,16,2,3,0.6296442549398629
5,17,3,2,1.0
5,17,2,0,1.0
5,17,1,1,1.0
5,17,0,3,0.4456633527596845
5,18,3,3,1.0
5,18,1,1,1.0
5,18,0,0,1.0
5,18,2,2,0.46146074713150564
5,19,3,3,1.0
5,19,1,1,1.0
5,19,0,0,1.0
5,19,2,2,0.6660723143329186
5,20,3,2,1.0
5,20,1,3,1.0
5,20,0,0,1.0
