Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
4,17,2,1,1.0,adjusted_rand
4,17,1,0,1.0,adjusted_rand
4,17,0,3,1.0,adjusted_rand
4,17,3,2,0.1877848678213309,adjusted_rand
4,18,3,1,1.0,adjusted_rand
4,18,0,2,1.0,adjusted_rand
4,18,1,0,1.0,adjusted_rand
4,18,2,3,0.9365730382048341,adjusted_rand
4,19,3,2,1.0,adjusted_rand
4,19,2,3,1.0,adjusted_rand
4,19,0,1,1.0,adjusted_rand
4,19,1,0,1.0,adjusted_rand
4,20,2,0,1.0,adjusted_rand
4,20,0,1,1.0,adjusted_rand
4,20,1,2,0.839913435105574,adjusted_rand
4,20,3,3,0.6137395327840174,adjusted_rand
4,21,3,2,1.0,adjusted_rand
4,21,0,0,1.0,adjusted_rand
4,21,1,1,1.0,adjusted_rand
4,21,2,3,0.9391489713046154,adjusted_rand
4,22,2,0,1.0,adjusted_rand
4,22,0,1,1.0,adjusted_rand
4,22,1,2,0.9470501715966662,adjusted_rand
4,22,3,3,0.6448712110101658,adjusted_rand
4,23,2,1,1.0,adjusted_rand
4,23,0,0,1.0,adjusted_rand
4,23,1,3,1.0,adjusted_rand
4,23,3,2,0.6147218907355124,adjusted_rand
4,24,2,3,1.0,adjusted_rand
4,24,0,2,1.0,adjusted_rand
4,24,1,0,1.0,adjusted_rand
4,24,3,1,0.1877848678213309,adjusted_rand
4,25,2,2,1.0,adjusted_rand
4,25,1,1,1.0,adjusted_rand
4,25,0,0,0.9110692812147186,adjusted_rand
5,6,3,3,1.0,adjusted_rand
5,6,0,2,1.0,adjusted_rand
5,6,2,0,0.9469702697480615,adjusted_rand
5,6,1,1,0.015276893698281398,adjusted_rand
5,7,3,1,1.0,adjusted_rand
5,7,2,0,1.0,adjusted_rand
5,7,0,2,1.0,adjusted_rand
5,7,1,3,0.031108072471553387,adjusted_rand
5,8,3,3,1.0,adjusted_rand
5,8,0,2,1.0,adjusted_rand
5,8,1,1,1.0,adjusted_rand
5,8,2,0,0.4489368483358376,adjusted_rand
5,9,3,3,1.0,adjusted_rand
5,9,0,1,1.0,adjusted_rand
5,9,1,2,1.0,adjusted_rand
5,9,2,0,0.7163821068030858,adjusted_rand
5,10,3,3,1.0,adjusted_rand
5,10,1,0,1.0,adjusted_rand
5,10,2,2,0.8276860890872856,adjusted_rand
5,10,0,1,0.745397904276409,adjusted_rand
5,11,3,3,1.0,adjusted_rand
5,11,1,1,1.0,adjusted_rand
5,11,0,2,0.6933333333333334,adjusted_rand
5,11,2,0,0.540120206203527,adjusted_rand
5,12,3,3,1.0,adjusted_rand
5,12,2,2,1.0,adjusted_rand
5,12,0,1,1.0,adjusted_rand
5,12,1,0,0.20338127681049706,adjusted_rand
5,13,3,3,1.0,adjusted_rand
5,13,0,1,1.0,adjusted_rand
5,13,1,0,0.9545211966424632,adjusted_rand
5,13,2,2,0.5666562705755969,adjusted_rand
5,14,3,2,1.0,adjusted_rand
5,14,1,3,1.0,adjusted_rand
5,14,0,0,1.0,adjusted_rand
5,14,2,1,0.5875559131491669,adjusted_rand
5,15,3,3,1.0,adjusted_rand
5,15,1,0,1.0,adjusted_rand
5,15,2,2,0.7626932202975517,adjusted_rand
5,15,0,1,0.745397904276409,adjusted_rand
5,16,3,2,1.0,adjusted_rand
5,16,1,1,1.0,adjusted_rand
5,16,0,0,1.0,adjusted_rand
5,16,2,3,0.6296442549398629,adjusted_rand
5,17,3,2,1.0,adjusted_rand
5,17,2,0,1.0,adjusted_rand
5,17,1,1,1.0,adjusted_rand
5,17,0,3,0.4456633527596845,adjusted_rand
5,18,3,3,1.0,adjusted_rand
5,18,1,1,1.0,adjusted_rand
5,18,0,0,1.0,adjusted_rand
5,18,2,2,0.46146074713150564,adjusted_rand
5,19,3,3,1.0,adjusted_rand
5,19,1,1,1.0,adjusted_rand
5,19,0,0,1.0,adjusted_rand
5,19,2,2,0.6660723143329186,adjusted_rand
5,20,3,2,1.0,adjusted_rand
5,20,1,3,1.0,adjusted_rand
5,20,0,0,1.0,adjusted_rand
5,20,2,1,0.5875559131491669,adjusted_rand
5,21,3,3,1.0,adjusted_rand
5,21,1,2,1.0,adjusted_rand
5,21,0,1,1.0,adjusted_rand
5,21,2,0,0.6167016945192575,adjusted_rand
5,22,3,3,1.0,adjusted_rand
5,22,0,2,1.0,adjusted_rand
5,22,2,0,0.6267750238597912,adjusted_rand
5,22,1,1,0.4403669724770642,adjusted_rand
5,23,3,3,1.0,adjusted_rand
5,23,1,0,1.0,adjusted_rand
5,23,2,1,0.9058427017902461,adjusted_rand
5,23,0,2,0.2313318127727094,adjusted_rand
5,24,3,1,1.0,adjusted_rand
5,24,1,3,1.0,adjusted_rand
5,24,2,0,0.8551836242303731,adjusted_rand
5,24,0,2,0.4121199817286706,adjusted_rand
5,25,3,2,1.0,adjusted_rand
5,25,0,1,1.0,adjusted_rand
5,25,1,0,0.3586026443244815,adjusted_rand
6,7,3,3,1.0,adjusted_rand
6,7,2,0,1.0,adjusted_rand
6,7,0,1,1.0,adjusted_rand
6,7,1,2,0.2272137107244871,adjusted_rand
6,8,0,3,1.0,adjusted_rand
6,8,1,1,0.9456559046289729,adjusted_rand
6,8,2,0,0.9350162459385154,adjusted_rand
6,8,3,2,0.4590611605060371,adjusted_rand
