0.69,0.69,0.73,0.68,0.85,0.78,0.76,0.76,0.75,0.75,0.73,0.82,1.00,0.78,0.69,0.69,1.00,0.76,0.79,0.76,0.80,0.75,0.69,0.69,0.82,0.89,0.79,0.69,0.76,0.81,0.74,0.74,0.79,0.72,0.77,0.76,0.84,0.69,0.70,0.74,0.81,0.70,0.77,0.84,0.80,0.76,0.81,0.75,0.76,0.74,0.68,0.72,0.77,0.78,0.77,0.74,0.78,0.77,0.74,0.76,0.78,0.79,0.77,0.77,0.75,0.76,0.77,0.82,0.79,0.75,0.82,0.69,0.79,0.75,0.74,0.69,0.76,0.75,0.70,0.70,0.76,0.76,0.79,0.79,0.76,0.78,0.77,0.77,0.69,0.78,0.78,0.70,0.70,0.79,0.79,0.76,0.78,0.76,0.79,0.78,0.78,0.78,0.70,0.70,0.76,0.76,0.76,0.69,0.69,0.76,0.78,0.78,0.74,0.77,0.79,0.78,0.28
0.79,0.65,0.68,0.64,0.72,0.73,0.73,0.71,0.70,0.70,0.68,0.78,0.78,1.00,0.65,0.64,0.78,0.71,0.71,0.71,0.78,0.76,0.64,0.65,0.79,0.78,0.77,0.65,0.76,0.79,0.74,0.72,0.79,0.74,0.70,0.73,0.79,0.64,0.65,0.81,0.78,0.65,0.96,0.79,0.79,0.73,0.79,0.76,0.76,0.73,0.64,0.66,0.70,0.70,0.96,0.72,0.73,0.76,0.74,0.89,0.71,0.71,0.71,0.70,0.74,0.73,0.71,0.79,0.76,0.74,0.79,0.65,0.71,0.70,0.73,0.65,0.73,0.74,0.65,0.65,0.73,0.73,0.76,0.76,0.73,0.70,0.70,0.70,0.64,0.71,0.70,0.65,0.65,0.77,0.76,0.73,0.71,0.73,0.71,0.71,0.71,0.71,0.65,0.65,0.73,0.73,0.73,0.65,0.65,0.73,0.70,0.71,0.74,0.70,0.77,0.71,0.27
0.62,0.83,0.82,0.89,0.69,0.67,0.67,0.82,0.79,0.79,0.82,0.69,0.69,0.65,1.00,0.85,0.69,0.82,0.80,0.82,0.65,0.66,0.80,0.83,0.68,0.66,0.67,0.92,0.66,0.65,0.68,0.74,0.64,0.63,0.70,0.69,0.66,0.85,0.87,0.64,0.65,0.87,0.65,0.66,0.65,0.67,0.65,0.66,0.66,0.62,0.89,0.79,0.77,0.77,0.65,0.74,0.67,0.65,0.68,0.65,0.78,0.80,0.72,0.76,0.68,0.69,0.72,0.68,0.67,0.68,0.69,0.92,0.80,0.79,0.62,0.92,0.69,0.68,0.87,0.87,0.69,0.69,0.67,0.67,0.67,0.77,0.76,0.77,0.85,0.78,0.77,0.87,0.87,0.67,0.67,0.67,0.77,0.69,0.80,0.77,0.78,0.77,0.87,0.87,0.69,0.69,0.69,0.83,0.83,0.69,0.77,0.77,0.68,0.77,0.67,0.77,0.28
0.61,0.90,0.86,0.79,0.68,0.67,0.66,0.84,0.81,0.81,0.86,0.66,0.69,0.64,0.85,1.00,0.68,0.84,0.83,0.84,0.63,0.63,0.85,0.90,0.67,0.65,0.67,0.82,0.64,0.64,0.68,0.74,0.62,0.60,0.70,0.70,0.64,1.00,0.90,0.62,0.64,0.90,0.64,0.64,0.64,0.67,0.64,0.63,0.64,0.60,0.79,0.82,0.77,0.78,0.64,0.74,0.67,0.66,0.68,0.63,0.78,0.83,0.73,0.77,0.65,0.70,0.73,0.67,0.67,0.65,0.66,0.82,0.83,0.81,0.60,0.82,0.70,0.65,0.90,0.90,0.70,0.70,0.67,0.67,0.66,0.78,0.77,0.77,1.00,0.78,0.78,0.90,0.90,0.67,0.67,0.66,0.78,0.70,0.83,0.78,0.78,0.78,0.90,0.90,0.70,0.70,0.70,0.90,0.89,0.70,0.78,0.78,0.68,0.77,0.67,0.78,0.31
0.69,0.69,0.73,0.68,0.85,0.78,0.76,0.76,0.75,0.75,0.73,0.83,1.00,0.78,0.69,0.68,1.00,0.76,0.79,0.76,0.80,0.75,0.69,0.69,0.82,0.89,0.79,0.69,0.76,0.80,0.74,0.74,0.79,0.72,0.77,0.76,0.84,0.69,0.70,0.74,0.80,0.70,0.77,0.84,0.80,0.76,0.80,0.75,0.76,0.74,0.68,0.72,0.77,0.79,0.77,0.74,0.78,0.77,0.74,0.76,0.78,0.79,0.77,0.77,0.75,0.76,0.77,0.82,0.79,0.75,0.82,0.69,0.79,0.75,0.74,0.69,0.76,0.75,0.70,0.70,0.76,0.76,0.79,0.79,0.76,0.78,0.77,0.77,0.68,0.78,0.78,0.70,0.70,0.79,0.79,0.76,0.77,0.76,0.79,0.77,0.78,0.77,0.70,0.70,0.76,0.76,0.76,0.69,0.69,0.76,0.78,0.77,0.74,0.77,0.79,0.77,0.28
0.67,0.83,0.91,0.76,0.76,0.74,0.74,0.95,0.84,0.84,0.91,0.73,0.76,0.71,0.82,0.84,0.76,1.00,0.94,1.00,0.71,0.71,0.78,0.83,0.74,0.72,0.74,0.79,0.72,0.73,0.76,0.83,0.69,0.68,0.79,0.78,0.71,0.84,0.83,0.69,0.73,0.83,0.70,0.71,0.73,0.74,0.73,0.71,0.72,0.67,0.76,0.81,0.91,0.88,0.70,0.83,0.74,0.73,0.76,0.69,0.91,0.94,0.82,0.90,0.73,0.78,0.82,0.74,0.74,0.73,0.73,0.79,0.94,0.84,0.67,0.79,0.78,0.73,0.83,0.83,0.78,0.78,0.74,0.74,0.74,0.88,0.90,0.91,0.84,0.91,0.88,0.83,0.83,0.74,0.74,0.74,0.91,0.78,0.94,0.91,0.91,0.91,0.83,0.83,0.78,0.78,0.78,0.83,0.83,0.78,0.88,0.91,0.76,0.91,0.74,0.91,0.27
0.67,0.82,0.90,0.75,0.78,0.77,0.76,0.94,0.84,0.84,0.90,0.75,0.79,0.71,0.80,0.83,0.79,0.94,1.00,0.94,0.72,0.72,0.77,0.82,0.76,0.74,0.75,0.78,0.73,0.73,0.77,0.83,0.70,0.68,0.81,0.81,0.73,0.83,0.82,0.69,0.73,0.82,0.71,0.73,0.73,0.76,0.73,0.72,0.73,0.69,0.75,0.81,0.88,0.91,0.71,0.83,0.77,0.76,0.77,0.69,0.88,1.00,0.86,0.88,0.74,0.81,0.86,0.76,0.75,0.74,0.75,0.78,1.00,0.84,0.69,0.78,0.81,0.74,0.82,0.82,0.81,0.81,0.75,0.75,0.76,0.91,0.88,0.88,0.83,0.88,0.91,0.82,0.82,0.75,0.75,0.76,0.88,0.81,1.00,0.88,0.88,0.88,0.82,0.82,0.81,0.81,0.81,0.82,0.82,0.81,0.91,0.88,0.77,0.88,0.75,0.88,0.27
0.67,0.83,0.91,0.76,0.76,0.74,0.74,0.95,0.84,0.84,0.91,0.73,0.76,0.71,0.82,0.84,0.76,1.00,0.94,1.00,0.71,0.71,0.78,0.83,0.74,0.72,0.74,0.79,0.72,0.73,0.76,0.83,0.69,0.68,0.79,0.78,0.71,0.84,0.83,0.69,0.73,0.83,0.70,0.71,0.73,0.74,0.73,0.71,0.72,0.67,0.76,0.81,0.91,0.88,0.70,0.83,0.74,0.73,0.76,0.69,0.91,0.94,0.82,0.90,0.73,0.78,0.82,0.74,0.74,0.73,0.73,0.79,0.94,0.84,0.67,0.79,0.78,0.73,0.83,0.83,0.78,0.78,0.74,0.74,0.74,0.88,0.90,0.91,0.84,0.91,0.88,0.83,0.83,0.74,0.74,0.74,0.91,0.78,0.94,0.91,0.91,0.91,0.83,0.83,0.78,0.78,0.78,0.83,0.83,0.78,0.88,0.91,0.76,0.91,0.74,0.91,0.27
0.73,0.64,0.68,0.64,0.72,0.74,0.72,0.70,0.69,0.69,0.68,0.90,0.80,0.78,0.65,0.63,0.80,0.71,0.72,0.71,1.00,0.82,0.63,0.64,0.82,0.82,0.78,0.65,0.85,0.79,0.73,0.71,0.81,0.76,0.70,0.73,0.92,0.63,0.65,0.78,0.77,0.65,0.78,0.92,0.77,0.72,0.78,0.82,0.85,0.84,0.64,0.66,0.70,0.71,0.78,0.71,0.74,0.74,0.73,0.79,0.71,0.72,0.71,0.70,0.79,0.73,0.71,0.82,0.78,0.79,0.89,0.65,0.72,0.69,0.84,0.65,0.73,0.79,0.65,0.65,0.73,0.73,0.78,0.78,0.72,0.70,0.70,0.70,0.63,0.71,0.70,0.65,0.65,0.78,0.78,0.72,0.71,0.73,0.72,0.71,0.71,0.71,0.65,0.65,0.73,0.73,0.73,0.64,0.64,0.73,0.71,0.71,0.73,0.70,0.78,0.71,0.26
0.72,0.64,0.68,0.65,0.72,0.76,0.71,0.71,0.69,0.69,0.68,0.82,0.75,0.76,0.66,0.63,0.75,0.71,0.72,0.71,0.82,1.00,0.64,0.64,0.80,0.75,0.78,0.66,0.91,0.75,0.72,0.71,0.77,0.72,0.70,0.72,0.82,0.63,0.66,0.77,0.75,0.66,0.76,0.82,0.76,0.71,0.75,1.00,0.91,0.72,0.65,0.65,0.71,0.71,0.76,0.71,0.76,0.75,0.72,0.76,0.72,0.72,0.71,0.71,0.79,0.72,0.71,0.80,0.78,0.79,0.82,0.66,0.72,0.69,0.72,0.66,0.72,0.79,0.66,0.66,0.72,0.72,0.78,0.78,0.71,0.71,0.71,0.71,0.63,0.72,0.71,0.66,0.66,0.78,0.78,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.66,0.66,0.72,0.72,0.72,0.64,0.64,0.72,0.71,0.72,0.72,0.71,0.78,0.72,0.29
