ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0098754,detoxification,5/90,162/21198,0.030864197530864196,7.269547325102881,5.230545966117551,0.0006382466665659057,0.004953664468914928,0.0034584418654827194,ATFSD1/AT103-1A/ATGSTU19/AtSOD1/AtNIT2,5
GO:0002831,regulation of response to biotic stimulus,6/90,259/21198,0.023166023166023165,5.456370656370656,4.711813925335145,0.0008297046424489427,0.006296536342140309,0.004395978982799662,ATGRP8/ATHLECRK/ATCHIA/cPGK2/ATNPR1/ATERF-4,6
GO:0032101,regulation of response to external stimulus,6/90,259/21198,0.023166023166023165,5.456370656370656,4.711813925335145,0.0008297046424489427,0.006296536342140309,0.004395978982799662,ATGRP8/ATHLECRK/ATCHIA/cPGK2/ATNPR1/ATERF-4,6
GO:0009812,flavonoid metabolic process,4/90,105/21198,0.0380952380952381,8.972698412698414,5.3476838122880945,0.0010474216158844263,0.007861417182956739,0.005488513499082073,PR-5/ATRNS1/ATCHS/AtCOMT,4
GO:0019430,removal of superoxide radicals,2/90,12/21198,0.16666666666666666,39.25555555555555,8.655567831671856,0.0011444239966651789,0.008315336060875714,0.0058054207221649055,ATFSD1/AtSOD1,2
GO:0071450,cellular response to oxygen radical,2/90,12/21198,0.16666666666666666,39.25555555555555,8.655567831671856,0.0011444239966651789,0.008315336060875714,0.0058054207221649055,ATFSD1/AtSOD1,2
GO:0071451,cellular response to superoxide,2/90,12/21198,0.16666666666666666,39.25555555555555,8.655567831671856,0.0011444239966651789,0.008315336060875714,0.0058054207221649055,ATFSD1/AtSOD1,2
GO:0009636,response to toxic substance,5/90,186/21198,0.026881720430107527,6.331541218637994,4.768814826237678,0.0011856903132016535,0.008524489304386625,0.0059514427909179955,ATFSD1/AT103-1A/ATGSTU19/AtSOD1/AtNIT2,5
GO:0043603,amide metabolic process,5/90,190/21198,0.02631578947368421,6.198245614035088,4.6997651202983555,0.0013029427095034047,0.009269894485321098,0.00647185358996757,AT103-1A/AtHMGR1/ATGSTU19/AtCOMT/URE,5
GO:0006790,sulfur compound metabolic process,7/90,389/21198,0.017994858611825194,4.2383890317052275,4.20933148038692,0.0013436355166748656,0.009400096360986874,0.006562755107539577,AT103-1A/AtHMGR1/ATGSTU19/ATR4/ATSAHH1/AtSAM2/ATMAPK3,7
GO:1902222,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,2/90,13/21198,0.15384615384615385,36.23589743589744,8.298081405985027,0.0013487693168033874,0.009400096360986874,0.006562755107539577,ATPAL2/AAS,2
GO:0071398,cellular response to fatty acid,4/90,115/21198,0.034782608695652174,8.192463768115942,5.050045726040505,0.0014668746108441272,0.010119953123298372,0.0070653290665857495,THI2.1/ACO4/ATNPR1/ATERF-4,4
