Solution 1,Solution 2,Cluster 1,Cluster 2,rand Similarity
1,47,1,3,0.575309698332704
1,47,2,0,0.555575286692182
1,47,0,2,0.512138739793438
1,48,3,1,0.5776595409753487
1,48,0,3,0.5408010862186015
1,48,1,0,0.5018463310029335
1,48,2,2,0.45508988540290024
1,49,1,2,0.5745600536211366
1,49,2,1,0.5428417241324309
1,49,3,0,0.5349237522861657
1,49,0,3,0.4587359153954763
1,50,3,1,0.6057495676509485
1,50,1,0,0.547738950164529
1,50,0,3,0.5369454186614037
1,50,2,2,0.44289187659029705
1,51,3,3,0.6190229301405741
1,51,0,1,0.5534715771961041
1,51,1,0,0.5469408491103186
1,51,2,2,0.45330975810604995
1,52,2,2,0.5530714183775408
1,52,1,3,0.5530640070147756
1,52,3,0,0.5398017863697541
1,52,0,1,0.450015750583948
1,53,3,0,0.5672450202560272
1,53,2,2,0.5601387023094964
1,53,0,1,0.48883571566796896
1,53,1,3,0.4704858869903748
1,54,3,3,0.5765242983152772
1,54,1,0,0.567822967043813
1,54,2,2,0.556434203829655
1,54,0,1,0.5279044358143831
1,55,2,2,0.5609668879897411
1,55,3,3,0.5569726994835037
1,55,1,1,0.5095522480499238
1,55,0,0,0.49691308300711784
1,56,3,1,0.5772327079407049
1,56,2,0,0.5689071449846939
1,56,1,3,0.5458171808553031
1,56,0,2,0.5108221248672953
1,57,1,0,0.5660856956295838
1,57,0,3,0.5584346731042917
1,57,2,2,0.5568080620018792
1,57,3,1,0.3953079425791281
1,58,2,1,0.5615668435104445
1,58,0,2,0.5438437545322531
1,58,3,3,0.5418791921642134
1,58,1,0,0.4979347746119163
1,59,3,1,0.5689419454838984
1,59,2,2,0.5650200147594875
1,59,1,3,0.5427504635089151
1,59,0,0,0.4883637102527657
1,60,3,3,0.5823289517839978
1,60,2,1,0.5014058067394543
1,60,1,2,0.495881753803463
1,60,0,0,0.4924315124120207
1,61,2,3,0.5733980370272354
1,61,3,2,0.5670627314248662
1,61,0,1,0.556163814268628
1,61,1,0,0.5279618955152675
1,62,1,0,0.5288448400895457
1,62,2,3,0.5001785373801806
1,62,0,1,0.47122123198064014
1,62,3,2,0.40515656229180547
1,63,2,0,0.5532448557165469
1,63,1,1,0.5530632913526072
1,63,3,3,0.5423700202565834
1,63,0,2,0.4496377480307283
1,64,2,1,0.5375366250022655
1,64,0,3,0.5262430910941414
1,64,1,2,0.4823786671307427
1,64,3,0,0.4232639624601423
1,65,3,2,0.5675759439920374
1,65,2,0,0.5274487623317751
1,65,0,3,0.5166892347843963
1,65,1,1,0.47384187967667696
1,66,1,0,0.5288448400895457
1,66,2,3,0.5001785373801806
1,66,0,2,0.47072134669295207
1,66,3,1,0.40416370986389405
1,67,3,0,0.5892365049510163
1,67,2,1,0.552561157622257
1,67,0,2,0.5272943479018063
1,67,1,3,0.43022176379577104
1,68,3,0,0.578731094281146
1,68,1,1,0.5730469563242466
1,68,0,3,0.5280170667547046
1,68,2,2,0.44079091050635705
1,69,2,1,0.5375366250022655
1,69,0,0,0.5253678168503002
1,69,1,3,0.4825194208914065
1,69,3,2,0.4239978087968538
1,70,1,2,0.5741846227586658
1,70,3,1,0.5574896257941316
1,70,2,3,0.5567438764666678
1,70,0,0,0.4180638084748605
1,71,3,1,0.6092343647838405
1,71,1,3,0.5557535208891261
1,71,0,2,0.5435853310616119
1,71,2,0,0.47974351309174784
1,72,1,1,0.5794915328022289
1,72,2,2,0.5709322394688697
1,72,0,0,0.556163814268628
1,72,3,3,0.543809701499105
1,73,3,0,0.571266846806647
1,73,0,2,0.5479793074501255
1,73,1,1,0.5454634985797516
1,73,2,3,0.53052884581458
1,74,1,3,0.5745987620508326
1,74,2,1,0.5428417241324309
1,74,3,0,0.5349237522861657
1,74,0,2,0.45892836242078605
1,75,3,0,0.6091616222294102
1,75,1,3,0.5557535208891261
